,address,listingby,price,beds,baths,sqft,building_type,price/sqft
164,"(undisclosed Address), San Francisco, CA 94132",NaN,"$4,500/mo",3 bds,2 ba,"1,350 sqft",- House for rent,NaN
165,"1424 Valencia St #4, San Francisco, CA 94110",NaN,"$1,895/mo",Studio,1 ba,359 sqft,- Apartment for rent,NaN
166,"726 Bush St APT 404, San Francisco, CA 94108",NaN,"$1,795/mo",Studio,1 ba,245 sqft,- Apartment for rent,NaN
167,"1025 Steiner St #12, San Francisco, CA 94115",NaN,"$1,895/mo",Studio,1 ba,305 sqft,- Apartment for rent,NaN
168,"520 Scott St APT 8, San Francisco, CA 94117",NaN,"$3,395/mo",2 bds,1 ba,608 sqft,- Apartment for rent,NaN
169,"146 McAllister St. | 146 Mcallister St, San Francisco, CA",NaN,"$1,450+ Studio","$2,795 3 bds",NaN,NaN,NaN,NaN
170,"449 O'Farrell | 449 Ofarrell St, San Francisco, CA",NaN,"$1,495+ Studio",NaN,NaN,NaN,NaN,NaN
171,"1029 Geary St. | 1029 Geary St, San Francisco, CA",NaN,"$1,895+ 1 bd",NaN,NaN,NaN,NaN,NaN
172,"1301 Leavenworth | 1301 Leavenworth St, San Francisco, CA",NaN,"$1,895 Studio","$3,195+ 2 bds",NaN,NaN,NaN,NaN
173,"The Gateway | 430 Davis Ct, San Francisco, CA",NaN,"$2,201+ Studio","$2,420+ 1 bd","$3,124+ 2 bds","$6,439 3 bds",NaN,NaN
174,"346 Leavenworth | 346 Leavenworth St, San Francisco, CA",NaN,"$1,595+ Studio",NaN,NaN,NaN,NaN,NaN
175,"430 Davis Ct #2-1306, San Francisco, CA 94111",NaN,"$3,881/mo",2 bds,2 ba,965 sqft,- Apartment for rent,NaN
176,"930 Sutter St, San Francisco, CA 94109",NaN,"$1,995/mo",1 bd,1 ba,387 sqft,- Apartment for rent,NaN
177,"The Wilson | 973 Market St, San Francisco, CA",NaN,"$2,291+ Studio","$2,178+ 1 bd","$3,535+ 2 bds",NaN,NaN,NaN
178,"784 Geary St #2250418, San Francisco, CA 94109",NaN,"$1,895+/mo",1 bd,1 ba,479 sqft,- Apartment for rent,NaN
179,"25 Capra Way #965JUMH1Y, San Francisco, CA 94123",NaN,"$3,795+/mo",Studio,1 ba,528 sqft,- Apartment for rent,NaN
180,"1444 Pacific Ave APT 4, San Francisco, CA 94109",NaN,"$2,800/mo",1 bd,1 ba,760 sqft,- Apartment for rent,NaN
181,"322 Stanyan St #2288, San Francisco, CA 94118",NaN,"$3,995/mo",3 bds,1 ba,985 sqft,- Apartment for rent,NaN
182,"677 Ellis St APT 10, San Francisco, CA 94109",NaN,"$1,495/mo",Studio,1 ba,304 sqft,- Apartment for rent,NaN
183,"891 Post St. | 891 Post St, San Francisco, CA",NaN,"$1,445+ Studio",NaN,NaN,NaN,NaN,NaN
184,"1509 Golden Gate Ave #103, San Francisco, CA 94115",NaN,"$2,295/mo",1 bd,1 ba,504 sqft,- Apartment for rent,NaN
185,"409 Laguna St APT 3D, San Francisco, CA 94102",NaN,"$2,695/mo",1 bd,1 ba,646 sqft,- Apartment for rent,NaN
186,"1050 Post | 1050 Post St, San Francisco, CA",NaN,"$1,395+ Studio","$2,095+ 1 bd",NaN,NaN,NaN,NaN
187,"1675 Clay St #5954JR3U0, San Francisco, CA 94109",NaN,"$3,795+/mo",2 bds,1 ba,613 sqft,- Apartment for rent,NaN
188,"455 Hyde | 455 Hyde St, San Francisco, CA",NaN,"$2,245+ 1 bd",NaN,NaN,NaN,NaN,NaN
189,"700 Steiner St #2003, San Francisco, CA 94117",NaN,"$2,150/mo",Studio,1 ba,410 sqft,- Apartment for rent,NaN
190,"333 Presidio Ave APT 3, San Francisco, CA 94115",NaN,"$3,395/mo",2 bds,1 ba,880 sqft,- Apartment for rent,NaN
191,"1064 Dolores St APT 4, San Francisco, CA 94110",NaN,"$4,095/mo",2 bds,1 ba,729 sqft,- Apartment for rent,NaN
192,"340 Church St #8, San Francisco, CA 94114",NaN,"$3,795/mo",2 bds,1 ba,755 sqft,- Apartment for rent,NaN
193,"1725 Turk St #11, San Francisco, CA 94115",NaN,"$3,495/mo",2 bds,1 ba,708 sqft,- Apartment for rent,NaN
194,"2737 Sutter | 2737 Sutter St, San Francisco, CA",NaN,"$3,395+ 2 bds",NaN,NaN,NaN,NaN,NaN
195,"390 Rolph St, San Francisco, CA 94112",NaN,"$3,950/mo",3 bds,1 ba,"1,655 sqft",- House for rent,NaN
196,"333 Hyde | 333-335 Hyde St, San Francisco, CA",NaN,"$1,295+ Studio",NaN,NaN,NaN,NaN,NaN
197,"10 Brighton Ave, San Francisco, CA 94112",NaN,"$5,500/mo",5 bds,4 ba,"1,750 sqft",- House for rent,NaN
198,"1568 Lombard St #3457720, San Francisco, CA 94123",NaN,"$2,395+/mo",1 bd,1 ba,650 sqft,- Apartment for rent,NaN
199,"Mt. Sutro | 480 Warren Dr, San Francisco, CA",NaN,"$2,395+ 1 bd",NaN,NaN,NaN,NaN,NaN
200,"333 Hyde | 333-335 Hyde St, San Francisco, CA",NaN,"$1,295+ Studio",NaN,NaN,NaN,NaN,NaN
