,address,listingby,price,beds,baths,sqft,building_type,price/sqft
607,"1437 Cabrillo St #1439, San Francisco, CA 94118","SOTHEBY'S INTERNATIONAL REALTY, Annie M. Williams",$1.86M,4 bds,-- ba,"2,550 sqft",- Sold,
608,"1650 Jackson St APT 602, San Francisco, CA 94109","COMPASS, Marianne Bacigalupi Schier",$1.30M,2 bds,2 ba,"1,103 sqft",- Sold,
609,"1940 Anza St APT 5, San Francisco, CA 94118","COMPASS SF, Erica S Levin","$987,000",1 bd,2 ba,850 sqft,- Sold,
610,"2223 27th Ave, San Francisco, CA 94116",NaN,$2.33M,3 bds,2 ba,"2,378 sqft",- Sold,
611,"2224 Clement St #108, San Francisco, CA 94121","NORTH POINT REAL ESTATE, Michael L. Annunziata",$1.38M,3 bds,2 ba,"1,457 sqft",- Sold,
612,"26 Presidio Ter, San Francisco, CA 94118","COMPASS, Neal Allen Ward",$13.6M,6 bds,9 ba,"9,405 sqft",- Sold,
613,"80 Summit Way, San Francisco, CA 94132","COLDWELL BANKER REALTY, Mary Ann Montano",$1.29M,3 bds,2 ba,"1,547 sqft",- Sold,
614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
631,"3675 Clay St, San Francisco, CA 94118","MAYNE AND COMPANY, Linda F. Mayne",$5.35M,5 bds,4 ba,"5,003 sqft",- Sold,
632,"749 Congo St, San Francisco, CA 94131","COMPASS, Julie F. Rogers",$1.85M,2 bds,2 ba,"1,534 sqft",- Sold,
633,"360 Country Club Dr, San Francisco, CA 94132","CITY REAL ESTATE, Vivian  Lee",$1.78M,4 bds,2 ba,"1,903 sqft",- Sold,
634,"173 Coleridge St, San Francisco, CA 94110","COMPASS, Faye Dibachi","$750,000",2 bds,2 ba,831 sqft,- Sold,
635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
637,"126 Milton St, San Francisco, CA 94112","ENGEL & VOELKERS SAN FRANCISCO, Priscilla Bettencourt Rodrigues",$1.25M,2 bds,2 ba,"1,276 sqft",- Sold,
638,"788 Minna St UNIT 505, San Francisco, CA 94103","VANGUARD PROPERTIES, Catherine Watson","$665,000",1 bd,1 ba,-- sqft,- Sold,
639,"2710 Scott St, San Francisco, CA 94123","COMPASS, Marianne Bacigalupi Schier",$5.35M,4 bds,4 ba,"4,235 sqft",- Sold,
640,"173 Coleridge St, San Francisco, CA 94110","COMPASS, Faye Dibachi","$750,000",2 bds,2 ba,831 sqft,- Sold,
641,"900 Bush St APT 518, San Francisco, CA 94109","CORCORAN GLOBAL LIVING, Samantha R. Hailer","$485,000",1 bd,1 ba,643 sqft,- Sold,
642,"217 Montcalm St, San Francisco, CA 94110","SOTHEBY'S INTERNATIONAL REALTY, Mary E. Lace",$2.15M,2 bds,1 ba,"1,643 sqft",- Sold,
643,"95 Mccoppin St APT E304, San Francisco, CA 94103","STERLING HOMES, Anna G. Spathis","$711,500",1 bd,1 ba,760 sqft,- Sold,
644,"2224 Clement St #108, San Francisco, CA 94121","NORTH POINT REAL ESTATE, Michael L. Annunziata",$1.38M,3 bds,2 ba,"1,457 sqft",- Sold,
645,"360 Country Club Dr, San Francisco, CA 94132","CITY REAL ESTATE, Vivian  Lee",$1.78M,4 bds,2 ba,"1,903 sqft",- Sold,
646,"1437 Cabrillo St #1439, San Francisco, CA 94118","SOTHEBY'S INTERNATIONAL REALTY, Annie M. Williams",$1.86M,4 bds,-- ba,"2,550 sqft",- Sold,
647,"3675 Clay St, San Francisco, CA 94118","MAYNE AND COMPANY, Linda F. Mayne",$5.35M,5 bds,4 ba,"5,003 sqft",- Sold,
648,"105 Prospect Ave #A, San Francisco, CA 94110","VANGUARD PROPERTIES, Denis Lancerin","$960,000",1 bd,1 ba,753 sqft,- Sold,
649,"1755 39th Ave, San Francisco, CA 94122",NaN,$1.67M,3 bds,2 ba,800 sqft,- Sold,
650,"59 Manor Dr, San Francisco, CA 94127","NEW AGE REALTY & MORTGAGE, Mikhail Kurgatnikov",$2.14M,4 bds,3 ba,"3,071 sqft",- Sold,
651,"3615 Buchanan St APT 204, San Francisco, CA 94123",NaN,$1.45M,2 bds,2 ba,"1,169 sqft",- Sold,
652,"2057 15th St APT D, San Francisco, CA 94114","VANGUARD PROPERTIES, Christian Buckley",$1.20M,3 bds,1 ba,"1,312 sqft",- Sold,
653,"2409 Scott St APT 2, San Francisco, CA 94115","COMPASS, Jason H. Hoffman",$1.84M,2 bds,1 ba,-- sqft,- Sold,
654,"1515 15th St APT 401, San Francisco, CA 94103","HOME QUEST REALTY, Robert Belli","$292,001",Studio,1 ba,383 sqft,- Sold,
655,"204 Dore St, San Francisco, CA 94103","VANGUARD PROPERTIES, Carolyn A. Goeldner",$1.75M,8 bds,4 ba,"5,118 sqft",- Sold,
656,"12 Carson St, San Francisco, CA 94114","COMPASS, Shane R. Ray",$2.33M,3 bds,2 ba,"1,905 sqft",- Sold,
657,"333 Beale St #C3C, San Francisco, CA 94105","HELENA GENG, BROKER, Helena Geng",$1.12M,1 bd,2 ba,916 sqft,- Sold,
658,"563 Lisbon St, San Francisco, CA 94112","COMPASS SF, D. Paul Brown",$1.38M,3 bds,3 ba,"1,623 sqft",- Sold,
659,"465 10th St APT 306, San Francisco, CA 94103","CORCORAN GLOBAL LIVING, Richard Hurwitz","$815,000",1 bd,2 ba,694 sqft,- Sold,
660,"3461 17th St #A, San Francisco, CA 94110","COMPASS, Alexander F. Lurie","$800,000",2 bds,1 ba,757 sqft,- Sold,
661,"1688 Pine St #E510, San Francisco, CA 94109","COMPASS, Deborah L. Nguyen","$775,000",1 bd,1 ba,638 sqft,- Sold,
662,"1025 Lake St, San Francisco, CA 94118","VANGUARD PROPERTIES, Christina Ciccone","$630,000",1 bd,1 ba,561 sqft,- Sold,
663,"162 Byxbee St, San Francisco, CA 94132","RE/MAX GOLD DALY CITY, Beatrice S. Kopilenko","$888,000",2 bds,1 ba,812 sqft,- Sold,
664,"735 Geary St APT 201, San Francisco, CA 94109","COMPASS, Amanda M. Jones","$639,000",1 bd,1 ba,822 sqft,- Sold,
665,"100 San Felipe Ave, San Francisco, CA 94127",NaN,$3.40M,4 bds,4 ba,"3,465 sqft",- Sold,
666,"177 Baltimore Way, San Francisco, CA 94112",NaN,$1.28M,3 bds,2 ba,"1,225 sqft",- Sold,
